ID,Paper,Links
20,"Viggiato M, Oliveira J, Figueiredo E, Jamshidi P and Kästner C. Understanding similarities and differences in software development practices across domains Proceedings of the 14th International Conference on Global Software Engineering, (74-84)",https://doi-org.proxy.bnl.lu/10.1109/ICGSE.2019.00013
21,"Trockman A, van Tonder R and Vasilescu B. Striking gold in software repositories? Proceedings of the 16th International Conference on Mining Software Repositories, (181-185)",https://doi-org.proxy.bnl.lu/10.1109/MSR.2019.00036
22,"Li Y, Wang J, Yang Y and Wang Q. 2019. Method-Level Test Selection for Continuous Integration with Static Dependencies and Dynamic Execution Rules 2019 IEEE 19th International Conference on Software Quality, Reliability and Security (QRS). 10.1109/QRS.2019.00052. 978-1-7281-3927-2, (350-361)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/8854715/
23,"Zhang C, Chen B, Chen L, Peng X and Zhao W. A large-scale empirical study of compiler errors in continuous integration Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, (176-187)",https://doi-org.proxy.bnl.lu/10.1145/3338906.3338917
24,"Vassallo C, Proksch S, Gall H and Di Penta M. Automated reporting of anti-patterns and decay in continuous integration Proceedings of the 41st International Conference on Software Engineering, (105-115)",https://doi-org.proxy.bnl.lu/10.1109/ICSE.2019.00028
25,"Laaber C. Continuous software performance assessment: detecting performance problems of software libraries on every build Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis, (410-414)",https://doi-org.proxy.bnl.lu/10.1145/3293882.3338982
26,"Bezemer C, Eismann S, Ferme V, Grohmann J, Heinrich R, Jamshidi P, Shang W, van Hoorn A, Villavicencio M, Walter J and Willnecker F. How is Performance Addressed in DevOps? Proceedings of the 2019 ACM/SPEC International Conference on Performance Engineering, (45-50)",https://doi-org.proxy.bnl.lu/10.1145/3297663.3309672
27,"Krafczyk M, Shi A, Bhaskar A, Marinov D and Stodden V. Scientific Tests and Continuous Integration Strategies to Enhance Reproducibility in the Scientific Software Context Proceedings of the 2nd International Workshop on Practical Reproducible Evaluation of Computer Systems, (23-28)",https://doi-org.proxy.bnl.lu/10.1145/3322790.3330595
28,"Widder D, Hilton M, Kästner C and Vasilescu B. A conceptual replication of continuous integration pain points in the context of Travis CI Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, (647-658)",https://doi-org.proxy.bnl.lu/10.1145/3338906.3338922
29,"Felidre W, Furtado L, Costa D, Cartaxo B and Pinto G. 2019. Continuous Integration Theater 2019 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM). 10.1109/ESEM.2019.8870152. 978-1-7281-2968-6, (1-10)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/8870152/
30,"Ghaleb T, Da Costa D and Zou Y. 2019. An empirical study of the long duration of continuous integration builds. Empirical Software Engineering, 24:4, (2102-2139), Online publication date: 1-Aug-2019.",https://doi-org.proxy.bnl.lu/10.1007/s10664-019-09695-9
31,"Cruz L, Abreu R and Lo D. 2019. To the attention of mobile software developers. Empirical Software Engineering, 24:4, (2438-2468), Online publication date: 1-Aug-2019.",https://doi-org.proxy.bnl.lu/10.1007/s10664-019-09701-0
32,"Lam W, Godefroid P, Nath S, Santhiar A and Thummalapenta S. Root causing flaky tests in a large-scale industrial setting Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis, (101-111)",https://doi-org.proxy.bnl.lu/10.1145/3293882.3330570
33,"Tushev M, Khatiwada S and Mahmoud A. 2019. Linguistic Change in Open Source Software 2019 IEEE International Conference on Software Maintenance and Evolution (ICSME). 10.1109/ICSME.2019.00045. 978-1-7281-3094-1, (296-300)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/8918934/
34,"Durieux T, Abreu R, Monperrus M, Bissyande T and Cruz L. 2019. An Analysis of 35+ Million Jobs of Travis CI 2019 IEEE International Conference on Software Maintenance and Evolution (ICSME). 10.1109/ICSME.2019.00044. 978-1-7281-3094-1, (291-295)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/8919104/
35,"Heradio R, Fernandez-Amoros D, Galan D, Cabrerizo F and Herrera-Viedma E. 2019. Looking Over the Research Literature on Software Engineering from 2016 to 2018. Procedia Computer Science. 10.1016/j.procs.2019.12.042, 162, (712-719), .",https://linkinghub-elsevier-com.proxy.bnl.lu/retrieve/pii/S1877050919320538
36,"Vassallo C. Enabling continuous improvement of a continuous integration process Proceedings of the 34th IEEE/ACM International Conference on Automated Software Engineering, (1246-1249)",https://doi-org.proxy.bnl.lu/10.1109/ASE.2019.00151
37,"Shi A, Zhao P and Marinov D. 2019. Understanding and Improving Regression Test Selection in Continuous Integration 2019 IEEE 30th International Symposium on Software Reliability Engineering (ISSRE). 10.1109/ISSRE.2019.00031. 978-1-7281-4982-0, (228-238)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/8987498/
38,"Pinto G, Castor F, Bonifacio R and Rebouças M. 2018. Work practices and challenges in continuous integration: A survey with Travis CI users. Software: Practice and Experience. 10.1002/spe.2637, 48:12, (2223-2236), Online publication date: 1-Dec-2018.",http://doi.wiley.com.proxy.bnl.lu/10.1002/spe.2637
39,"Fernandez-Prades C, Vila-Valls J, Arribas J and Ramos A. Continuous Reproducibility in GNSS Signal Processing. IEEE Access. 10.1109/ACCESS.2018.2822835, 6, (20451-20463)",http://ieeexplore.ieee.org.proxy.bnl.lu/document/8331069/
40,"Vassallo C, Panichella S, Palomba F, Proksch S, Zaidman A and Gall H. 2018. Context is king: The developer perspective on the usage of static analysis tools 2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER). 10.1109/SANER.2018.8330195. 978-1-5386-4969-5, (38-49)",http://ieeexplore.ieee.org.proxy.bnl.lu/document/8330195/
41,"Morales J, Yasar H and Volkmann A. Weaving Security into DevOps Practices in Highly Regulated Environments. International Journal of Systems and Software Security and Protection. 10.4018/IJSSSP.2018010102, 9:1, (18-46)",http://services.igi-global.com.proxy.bnl.lu/resolvedoi/resolve.aspx?doi=10.4018/IJSSSP.2018010102
42,"Baudette M, Castro M, Rabuzin T, Lavenius J, Bogodorova T and Vanfretti L. 2018. OpenIPSL: Open-Instance Power System Library — Update 1.5 to “iTesla Power Systems Library (iPSL): A Modelica library for phasor time-domain simulations”. SoftwareX. 10.1016/j.softx.2018.01.002, 7, (34-36), Online publication date: 1-Jan-2018.",https://linkinghub-elsevier-com.proxy.bnl.lu/retrieve/pii/S2352711018300050
43,"Trockman A, Zhou S, Kästner C and Vasilescu B. Adding sparkle to social coding Proceedings of the 40th International Conference on Software Engineering, (511-522)",https://doi-org.proxy.bnl.lu/10.1145/3180155.3180209
44,"Liang J, Elbaum S and Rothermel G. Redefining prioritization Proceedings of the 40th International Conference on Software Engineering, (688-698)",https://doi-org.proxy.bnl.lu/10.1145/3180155.3180213
45,"Wang K, Zhu C, Celik A, Kim J, Batory D and Gligoric M. Towards refactoring-aware regression test selection Proceedings of the 40th International Conference on Software Engineering, (233-244)",https://doi-org.proxy.bnl.lu/10.1145/3180155.3180254
46,"Celik A, Palmskog K and Gligoric M. A regression proof selection tool for coq Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings, (117-120)",https://doi-org.proxy.bnl.lu/10.1145/3183440.3183493
47,"Ni A and Li M. ACONA Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings, (366-367)",https://doi-org.proxy.bnl.lu/10.1145/3183440.3195012
48,"Vassallo C, Proksch S, Zemp T and Gall H. Un-break my build Proceedings of the 26th Conference on Program Comprehension, (41-51)",https://doi-org.proxy.bnl.lu/10.1145/3196321.3196350
49,"Bernardo J, da Costa D and Kulesza U. Studying the impact of adopting continuous integration on the delivery time of pull requests Proceedings of the 15th International Conference on Mining Software Repositories, (131-141)",https://doi-org.proxy.bnl.lu/10.1145/3196398.3196421
50,"Widder D, Hilton M, Kästner C and Vasilescu B. I'm leaving you, Travis Proceedings of the 15th International Conference on Mining Software Repositories, (165-169)",https://doi-org.proxy.bnl.lu/10.1145/3196398.3196422
51,"Palmskog K, Celik A and Gligoric M. piCoq: parallel regression proving for large-scale verification projects Proceedings of the 27th ACM SIGSOFT International Symposium on Software Testing and Analysis, (344-355)",https://doi-org.proxy.bnl.lu/10.1145/3213846.3213877
52,"Ketkar A. Type migration in large-scale code bases Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, (965-967)",https://doi-org.proxy.bnl.lu/10.1145/3236024.3275434
53,"Debroy V, Miller S and Brimble L. Building lean continuous integration and delivery pipelines by applying DevOps principles: a case study at Varidesk Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, (851-856)",https://doi-org.proxy.bnl.lu/10.1145/3236024.3275528
54,"Gallaba K, Macho C, Pinzger M and McIntosh S. Noise and heterogeneity in historical build data: an empirical study of Travis CI Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering, (87-97)",https://doi-org.proxy.bnl.lu/10.1145/3238147.3238171
55,"Hilton M, Bell J and Marinov D. A large-scale study of test coverage evolution Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering, (53-63)",https://doi-org.proxy.bnl.lu/10.1145/3238147.3238183
56,"Vassallo C, Palomba F, Bacchelli A and Gall H. Continuous code quality: are we (really) doing that? Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering, (790-795)",https://doi-org.proxy.bnl.lu/10.1145/3238147.3240729
57,"Baltes S, Knack J, Anastasiou D, Tymann R and Diehl S. (No) influence of continuous integration on the commit activity in GitHub projects Proceedings of the 4th ACM SIGSOFT International Workshop on Software Analytics, (1-7)",https://doi-org.proxy.bnl.lu/10.1145/3278142.3278143
58,"Rahman A, Agrawal A, Krishna R and Sobran A. Characterizing the influence of continuous integration: empirical results from 250+ open source and proprietary projects Proceedings of the 4th ACM SIGSOFT International Workshop on Software Analytics, (8-14)",https://doi-org.proxy.bnl.lu/10.1145/3278142.3278149
59,"Xie Z and Li M. Cutting the software building efforts in continuous integration by semi-supervised online AUC optimization Proceedings of the 27th International Joint Conference on Artificial Intelligence, (2875-2881)",https://doi-org.proxy.bnl.lu/10.5555/3304889.3305060
60,"Gambi A, Gorla A and Zeller A. 2017. O!Snap: Cost-Efficient Testing in the Cloud 2017 IEEE International Conference on Software Testing, Verification and Validation (ICST). 10.1109/ICST.2017.51. 978-1-5090-6031-3, (454-459)",http://ieeexplore.ieee.org.proxy.bnl.lu/document/7928001/
61,"Mirhosseini S and Parnin C. 2017. Can automated pull requests encourage software developers to upgrade out-of-date dependencies? 2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE). 10.1109/ASE.2017.8115621. 978-1-5386-2684-9, (84-94)",http://ieeexplore.ieee.org.proxy.bnl.lu/document/8115621/
62,"Penson W, Huang E, Klamut D, Wardle E, Douglas G, Fazackerley S and Lawrence R. 2017. Continuous integration platform for Arduino embedded software 2017 IEEE 30th Canadian Conference on Electrical and Computer Engineering (CCECE). 10.1109/CCECE.2017.7946696. 978-1-5090-5538-8, (1-4)",http://ieeexplore.ieee.org.proxy.bnl.lu/document/7946696/
63,"Celik A, Palmskog K and Gligoric M. 2017. ICoq: Regression proof selection for large-scale verification projects 2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE). 10.1109/ASE.2017.8115630. 978-1-5386-2684-9, (171-182)",http://ieeexplore.ieee.org.proxy.bnl.lu/document/8115630/
64,"Vassallo C, Schermann G, Zampetti F, Romano D, Leitner P, Zaidman A, Penta M and Panichella S. 2017. A Tale of CI Build Failures: An Open Source and a Financial Organization Perspective 2017 IEEE International Conference on Software Maintenance and Evolution (ICSME). 10.1109/ICSME.2017.67. 978-1-5386-0992-7, (183-193)",http://ieeexplore.ieee.org.proxy.bnl.lu/document/8094420/
65,"Candido J, Melo L and d'Amorim M. 2017. Test suite parallelization in open-source projects: A study on its usage and impact 2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE). 10.1109/ASE.2017.8115695. 978-1-5386-2684-9, (838-848)",http://ieeexplore.ieee.org.proxy.bnl.lu/document/8115695/
66,"Pinto G, Rebouças M and Castor F. Inadequate testing, time pressure, and (over) confidence Proceedings of the 10th International Workshop on Cooperative and Human Aspects of Software Engineering, (74-77)",https://doi-org.proxy.bnl.lu/10.1109/CHASE.2017.13
67,"Hassan F, Mostafa S, Lam E and Wang X. Automatic building of Java projects in software repositories Proceedings of the 11th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement, (38-47)",https://doi-org.proxy.bnl.lu/10.1109/ESEM.2017.11
68,"Hassan F and Wang X. Change-aware build prediction model for stall avoidance in continuous integration Proceedings of the 11th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement, (157-162)",https://doi-org.proxy.bnl.lu/10.1109/ESEM.2017.23
69,"Zampetti F, Scalabrino S, Oliveto R, Canfora G and Di Penta M. How open source projects use static code analysis tools in continuous integration pipelines Proceedings of the 14th International Conference on Mining Software Repositories, (334-344)",https://doi-org.proxy.bnl.lu/10.1109/MSR.2017.2
70,"Beller M, Gousios G and Zaidman A. TravisTorrent Proceedings of the 14th International Conference on Mining Software Repositories, (447-450)",https://doi-org.proxy.bnl.lu/10.1109/MSR.2017.24
71,"Islam M and Zibran M. Insights into continuous integration build failures Proceedings of the 14th International Conference on Mining Software Repositories, (467-470)",https://doi-org.proxy.bnl.lu/10.1109/MSR.2017.30
72,"Rebouças M, Santos R, Pinto G and Castor F. How does contributors' involvement influence the build status of an open-source software project? Proceedings of the 14th International Conference on Mining Software Repositories, (475-478)",https://doi-org.proxy.bnl.lu/10.1109/MSR.2017.32
73,"Paixão K, Felício C, Delfim F and de A. Maia M. On the interplay between non-functional requirements and builds on continuous integration Proceedings of the 14th International Conference on Mining Software Repositories, (479-482)",https://doi-org.proxy.bnl.lu/10.1109/MSR.2017.33
74,"Zolfagharinia M, Adams B and Guéhéneuc Y. Do not trust build results at face value Proceedings of the 14th International Conference on Mining Software Repositories, (312-322)",https://doi-org.proxy.bnl.lu/10.1109/MSR.2017.7
75,"Coelho J and Valente M. Why modern open source projects fail Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering, (186-196)",https://doi-org.proxy.bnl.lu/10.1145/3106237.3106246
76,"Hilton M, Nelson N, Tunnell T, Marinov D and Dig D. Trade-offs in continuous integration: assurance, security, and flexibility Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering, (197-207)",https://doi-org.proxy.bnl.lu/10.1145/3106237.3106270
77,"Celik A, Vasic M, Milicevic A and Gligoric M. Regression test selection across JVM boundaries Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering, (809-820)",https://doi-org.proxy.bnl.lu/10.1145/3106237.3106297
78,"Zhao Y, Serebrenik A, Zhou Y, Filkov V and Vasilescu B. The impact of continuous integration on other software development practices: a large-scale empirical study Proceedings of the 32nd IEEE/ACM International Conference on Automated Software Engineering, (60-71)",https://doi-org.proxy.bnl.lu/10.5555/3155562.3155575
79,"Mirhosseini S and Parnin C. Can automated pull requests encourage software developers to upgrade out-of-date dependencies? Proceedings of the 32nd IEEE/ACM International Conference on Automated Software Engineering, (84-94)",https://doi-org.proxy.bnl.lu/10.5555/3155562.3155577
80,"Celik A, Palmskog K and Gligoric M. iCoq: regression proof selection for large-scale verification projects Proceedings of the 32nd IEEE/ACM International Conference on Automated Software Engineering, (171-182)",https://doi-org.proxy.bnl.lu/10.5555/3155562.3155588
81,"Candido J, Melo L and d’Amorim M. Test suite parallelization in open-source projects: a study on its usage and impact Proceedings of the 32nd IEEE/ACM International Conference on Automated Software Engineering, (838-848)",https://doi-org.proxy.bnl.lu/10.5555/3155562.3155667
82,"Paolino M, Fanguede J, Nikolaev N and Raho D. 2016. Turning an open source project into a carrier grade vswitch for NFV: Vosyswitch challenges & results 2016 IEEE International Conference on Network Infrastructure and Digital Content (IC-NIDC). 10.1109/ICNIDC.2016.7974529. 978-1-5090-1245-9, (22-27)",http://ieeexplore.ieee.org.proxy.bnl.lu/document/7974529/
83,"Celik A, Knaust A, Milicevic A and Gligoric M. Build system with lazy retrieval for Java projects Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering, (643-654)",https://doi-org.proxy.bnl.lu/10.1145/2950290.2950358
84,"Zolfagharinia M, Adams B and Guéhéneuc Y. 2019. A study of build inflation in 30 million CPAN builds on 13 Perl versions and 10 operating systems. Empirical Software Engineering. 10.1007/s10664-019-09709-6",http://link.springer.com.proxy.bnl.lu/10.1007/s10664-019-09709-6
85,"Vassallo C, Proksch S, Zemp T and Gall H. 2019. Every build you break: developer-oriented assistance for build failure resolution. Empirical Software Engineering. 10.1007/s10664-019-09765-y",http://link.springer.com.proxy.bnl.lu/10.1007/s10664-019-09765-y
86,"Vassallo C, Panichella S, Palomba F, Proksch S, Gall H and Zaidman A. 2019. How developers engage with static analysis tools in different contexts. Empirical Software Engineering. 10.1007/s10664-019-09750-5",http://link.springer.com.proxy.bnl.lu/10.1007/s10664-019-09750-5
87,"Zampetti F, Vassallo C, Panichella S, Canfora G, Gall H and Di Penta M. 2020. An empirical characterization of bad practices in continuous integration. Empirical Software Engineering. 10.1007/s10664-019-09785-8",http://link.springer.com.proxy.bnl.lu/10.1007/s10664-019-09785-8
88,"Romano J, Moore J and Markel S. 2020. Ten simple rules for writing a paper about scientific software. PLOS Computational Biology. 10.1371/journal.pcbi.1008390, 16:11, (e1008390)",https://dx-plos-org.proxy.bnl.lu/10.1371/journal.pcbi.1008390
89,"Danglot B, Monperrus M, Rudametkin W and Baudry B. 2020. An approach and benchmark to detect behavioral changes of commits in continuous integration. Empirical Software Engineering. 10.1007/s10664-019-09794-7",http://link.springer.com.proxy.bnl.lu/10.1007/s10664-019-09794-7
90,"Parry O, Kapfhammer G, Hilton M and McMinn P. 2021. A Survey of Flaky Tests. ACM Transactions on Software Engineering and Methodology. 31:1. (1-74). Online publication date: 31-Jan-2022.",https://dl.acm.org/doi/10.1145/3476105
91,"Saidani I, Ouni A and Mkaouer M. 2022. Improving the prediction of continuous integration build failures using deep learning. Automated Software Engineering. 10.1007/s10515-021-00319-5. 29:1. Online publication date: 1-May-2022.",https://www.researchgate.net/publication/357990835_Improving_the_prediction_of_continuous_integration_build_failures_using_deep_learning
92,"Morales J, Yasar H and Volkmann A. 2022. Weaving Security into DevOps Practices in Highly Regulated Environments Research Anthology on Agile Software, Software Development, and Testing. 10.4018/978-1-6684-3702-5.ch059. (1177-1201)",https://www.igi-global.com/gateway/chapter/294515
93,"Seker A, Diri B, Arslan H and Amasyalı M. 2022. Open Source Software Development Challenges Research Anthology on Agile Software, Software Development, and Testing. 10.4018/978-1-6684-3702-5.ch102. (2134-2164)",https://www.igi-global.com/gateway/chapter/294562
94,Lima J and Vergilio S. A Multi-Armed Bandit Approach for Test Case Prioritization in Continuous Integration Environments. IEEE Transactions on Software Engineering. 10.1109/TSE.2020.2992428. 48:2. (453-465),https://ieeexplore.ieee.org/document/9086053
95,"Krafczyk M, Shi A, Bhaskar A, Marinov D and Stodden V. 2021. Learning from reproducing computational results: introducing three principles and the Reproduction Package . Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences. 10.1098/rsta.2020.0069. 379:2197. Online publication date: 17-May-2021.",https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0069
96,"Geiger R, Howard D and Irani L. 2021. The Labor of Maintaining and Scaling Free and Open-Source Software Projects. Proceedings of the ACM on Human-Computer Interaction. 5:CSCW1. (1-28). Online publication date: 13-Apr-2021.",https://dl.acm.org/doi/10.1145/3449249
97,"Sane P. 2021. A Brief Survey of Current Software Engineering Practices in Continuous Integration and Automated Accessibility Testing 2021 Sixth International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET). 10.1109/WiSPNET51692.2021.9419464. 978-1-6654-4086-8. (130-134)",https://ieeexplore.ieee.org/document/9419464
98,"Kauhanen E, Nurminen J, Mikkonen T and Pashkovskiy M. 2021. Regression Test Selection Tool for Python in Continuous Integration Process 2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER). 10.1109/SANER50967.2021.00077. 978-1-7281-9630-5. (618-621)",https://ieeexplore.ieee.org/document/9425967
99,"Jin X and Servant F. What helped, and what did not? Proceedings of the 43rd International Conference on Software Engineering. (213-225)",https://arxiv.org/abs/2102.06666
100,Elazhary O. Investigating the interplay between developers and automation Proceedings of the 43rd International Conference on Software Engineering: Companion Proceedings. (153-155),https://arxiv.org/pdf/2103.07201.pdf
101,"Elazhary O, Storey M, Ernst N and Paradis E. ADEPT Proceedings of the 43rd International Conference on Software Engineering: New Ideas and Emerging Results. (26-30)",https://arxiv.org/pdf/2102.06834.pdf
102,"Afzal A, Katz D, Le Goues C and Timperley C. 2021. Simulation for Robotics Test Automation: Developer Perspectives 2021 14th IEEE Conference on Software Testing, Verification and Validation (ICST). 10.1109/ICST49551.2021.00036. 978-1-7281-6836-4. (263-274)",https://ieeexplore.ieee.org/document/9438553
103,"Latendresse J, Abdalkareem R, Elias Costa D and Shihab E. 2021. How Effective is Continuous Integration in Indicating Single-Statement Bugs? 2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR). 10.1109/MSR52588.2021.00062. 978-1-7281-8710-5. (500-504)",https://ieeexplore.ieee.org/document/9463134
104,Pan C and Pradel M. Continuous test suite failure prediction Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis. (553-565),https://software-lab.org/publications/issta2021_TestFailure.pdf
105,"Dilhara M, Ketkar A and Dig D. 2021. Understanding Software-2.0. ACM Transactions on Software Engineering and Methodology. 30:4. (1-42). Online publication date: 1-Jul-2021.",https://dl.acm.org/doi/pdf/10.1145/3453478
106,"Seker A, Diri B, Arslan H and Amasyalı M. 2021. Open Source Software Development Challenges Research Anthology on Usage and Development of Open Source Software. 10.4018/978-1-7998-9158-1.ch003. (33-62)",https://www.researchgate.net/publication/348586206_Open_Source_Software_Development_Challenges_A_Systematic_Literature_Review_on_GitHub
107,"Linares A, Hely D, Lhermet F and Di Natale G. 2021. Design Space Exploration Applied to Security 2021 16th International Conference on Design & Technology of Integrated Systems in Nanoscale Era (DTIS). 10.1109/DTIS53253.2021.9505151. 978-1-6654-3654-0. (1-4)",https://hal.archives-ouvertes.fr/hal-03351948/document
108,"Saidani I, Ouni A, Chouchen M and Mkaouer M. BF-detector: an automated tool for CI build failure detection Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering. (1530-1534)",https://www.researchgate.net/publication/353670572_BF-Detector_An_Automated_Tool_for_CI_Build_Failure_Detection
